Gd,Co,Fe,Ce,Pt
172.2615,56.16111,88.39121,538.8071,903.5519
169.4069,52.72498,105.3475,571.2177,813.1998
163.9743,54.68076,86.96056,540.4254,850.4661
138.0111,70.72368,110.219,570.7867,863.8759
154.6985,59.96437,106.5838,590.7474,883.706
139.7727,42.29062,117.3065,516.5452,783.9237
161.1173,75.16239,110.982,538.811,969.5433
149.2409,97.82297,142.0563,511.0307,898.77
202.5601,118.3717,138.0589,533.3463,937.3214
166.5312,115.8906,167.6989,510.6053,952.5859
184.3173,144.2769,200.4005,450.5746,989.8691
141.5304,162.5593,261.3405,429.2305,1028.761
113.1566,217.7096,316.9751,400.717,948.6915
135.6917,305.8943,444.6932,285.6996,1026.128
98.19588,327.1794,440.3972,282.7288,943.5831
87.43714,348.1231,446.3271,252.946,967.2759
129.8764,382.2183,482.675,249.7701,939.0218
93.62907,364.982,522.3372,219.9802,915.2048
74.41503,376.2946,516.8558,234.4898,945.7811
99.62102,417.1921,603.1917,215.6933,933.028
84.59101,409.9218,565.694,173.995,894.1008
90.71383,383.9121,512.7176,199.1106,884.3193
85.98342,422.1999,570.7801,149.4038,878.8674
88.00506,416.401,612.5283,156.3297,928.3558
78.06274,444.7635,573.978,168.5536,920.7067
75.78841,431.2771,642.3771,179.1848,895.576
85.24548,470.5645,615.3534,150.8069,862.8055
70.15234,450.1707,626.8801,142.0336,897.0128
88.0796,474.0782,652.0928,158.7178,890.7875
73.41731,467.0817,647.1391,153.9179,821.3406
93.50452,524.5706,623.7031,150.9875,832.4883
83.64177,457.5891,659.3967,150.9849,805.6144
73.46353,463.3029,688.5367,140.3701,751.4529
74.28947,428.3727,622.918,159.0615,805.9211
71.96976,498.0296,670.6785,132.3023,769.2631
94.28837,447.8235,627.4633,143.8495,833.6821
86.04292,446.9134,696.2479,132.7063,912.2115
77.74614,512.2967,672.1498,131.1165,909.1928
91.56153,463.223,691.9745,166.9965,900.838
69.22473,469.4041,693.685,126.4765,965.1323
52.43034,485.916,660.0844,159.7236,910.4933
85.45638,453.3282,726.3657,153.9442,885.1062
62.51773,501.0612,710.0769,148.3423,848.2687
84.21114,536.6032,668.5843,113.2764,854.7628
82.32198,492.6,679.8398,149.0316,866.037
81.54187,480.6879,659.03,157.0393,813.3957
58.94836,497.5083,696.5002,157.6629,854.0959
68.73047,449.141,742.4603,143.3764,868.4059
65.90514,473.4864,716.4918,150.99,839.024
74.41628,467.8067,704.1286,154.587,802.4993
112.8014,450.8319,684.4833,114.4347,831.9633
63.56331,510.7647,764.3969,126.2202,782.6739
64.09939,454.0656,670.2247,152.7014,754.7182
80.83553,495.3583,700.8525,127.0167,750.3665
69.84947,521.7954,699.5288,144.8589,781.6117
64.16604,479.6192,744.1021,128.4393,773.7162
58.53146,523.0422,694.7556,145.802,818.0699
68.78716,453.5856,678.7934,155.337,795.3701
76.69794,482.7751,666.1674,164.8238,785.2381
65.87462,515.2655,677.6117,197.7818,734.9368
76.69861,541.9091,669.8807,170.5177,797.6085
66.94939,484.3525,699.6889,183.9872,743.6247
86.5971,481.5573,618.2386,154.9342,731.4818
82.05003,487.9165,746.7915,198.1723,732.3847
85.17973,425.1227,713.0967,183.5742,746.975
117.4994,462.4616,678.7581,183.9295,789.2742
96.69874,460.3499,692.457,173.0751,705.8646
107.931,464.1081,676.7604,167.0865,728.4297
122.7114,444.9755,628.7269,196.8754,762.5334
69.10287,498.649,709.8753,186.6695,796.5526
68.82327,418.5846,700.2591,195.4836,785.7773
89.40785,403.0584,673.0293,200.6112,745.3796
78.4494,444.2756,626.1622,204.1461,775.8299
110.9067,442.1729,613.4365,215.5325,741.1481
105.6195,442.6866,650.8938,235.4292,763.7448
85.99722,420.0482,611.7119,249.8625,736.8021
91.25843,373.3049,587.4499,274.0977,780.054
115.2052,374.9662,558.433,275.1071,708.1341
137.3922,374.4266,500.8193,319.5002,818.3135
123.0591,352.1642,488.4403,293.6349,782.375
91.66768,337.4684,460.8359,347.3209,734.0304
130.9024,266.7175,410.7619,455.8471,744.6435
110.7407,209.8051,319.0657,528.6087,697.5659
157.7185,141.6436,201.4213,576.6993,768.209
184.2955,78.2995,148.7537,588.9195,762.7258
